what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329599114573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329599116192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329599123115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329599124721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329599135111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329599140427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329599144905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329599147421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329599153901
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329599156728
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329599158593
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329599160460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329599163270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329599167980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329599182314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329599182466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329599184932
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329599186302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329599187794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329599424976
